experiment,MAE,RMSE,R2,train_rows,test_rows
hgb_engineered_no_wind,0.7502973357462174,2.426274547216665,0.9344956586728327,1976711,419154
hgb_engineered_with_wind_missing,0.7509733890686837,2.430542612273108,0.9342649983028695,1976711,419154
hgb_baseline_no_wind,0.8300072472501231,2.576818695327057,0.9261147197674975,1976711,419154
ridge_baseline_no_wind,2.882112360466642,6.428686269563114,0.5401304399916926,1976711,419154
dummy_mean,4.855274674718984,9.500375338407322,-0.004319110521447955,1976711,419154
