CampusKey,Count,MeanError,MeanGhi
1,12783,-5.923133864850029,529.2006375655167
2,874,-1.6526169493107603,565.203947368421
3,5403,-0.7244253068325448,585.7518045530261
4,1891,1.1379303571233832,707.2966684294024
5,7,-3.84401407260648,766.0357142857143
