CampusKey,Hour,MAE,RMSE
1,0,0.0019293203180325796,0.006884719416408754
1,1,0.0018477009099093836,0.006999981669706972
1,2,0.001801523886279954,0.006420785796633382
1,3,0.001847808191495944,0.0063897289019593006
1,4,0.0019271115293576235,0.0067746018875274126
1,5,0.0018466827704159887,0.00631778466363086
1,6,0.017487302077229407,0.08024228040443063
1,7,0.4788919739445706,0.9171999935505754
1,8,0.7288932308401448,1.5434226308020191
1,9,1.1103865510439637,2.4586875827767454
1,10,1.5873703302160642,3.7254434571090895
1,11,1.8216951139545314,4.365856843561464
1,12,1.8103318071974184,4.37762637275197
1,13,2.049704762763838,4.684814962771845
1,14,2.0512512628009474,4.609351306372947
1,15,2.1200348072007786,4.941945934313747
1,16,1.8607027081011955,4.301501719980517
1,17,1.3650064898285676,3.129734624900958
1,18,0.9750174428619294,2.0819833409534407
1,19,0.5937353056618063,1.101019876991785
1,20,0.07348803027688232,0.2674405512254638
1,21,0.0068140776638119455,0.013428212354324282
1,22,0.007130290923164169,0.013534221029491924
1,23,0.006780437768156738,0.012942891689179505
2,0,0.0014538029104430785,0.004203493673422588
2,1,0.0015096576951827705,0.004391939967706913
2,2,0.0013451442984876566,0.003978523027708142
2,3,0.001385886860026303,0.004002776634735908
2,4,0.001200586392923813,0.0035534427937614094
2,5,0.0012112750152931096,0.003551694791395852
2,6,0.018077057020061415,0.04806107182847026
2,7,0.33913693456405686,0.4728807911954885
2,8,0.4199552873869758,0.6699123985938651
2,9,0.5779848697443386,0.9679662416447548
2,10,0.6763401979558967,1.141915353098737
2,11,0.8085084516507113,1.3915132363043932
2,12,0.8302992655803081,1.3835183590628604
2,13,0.9496378984153191,1.5919843714688875
2,14,1.0464830960486975,1.8569752395089123
2,15,1.1296409852904001,1.95463478993687
2,16,0.8913849806069281,1.59216400563384
2,17,0.718089541346699,1.28981116979332
2,18,0.508681344690369,0.8080014480216575
2,19,0.371001519206956,0.5011202113308936
2,20,0.030753433834147696,0.08459535133590275
2,21,0.005538756667018582,0.011261025810692916
2,22,0.005519449916980734,0.01091871152561347
2,23,0.005312626496269821,0.010711082644911472
3,0,0.0019086403880008782,0.005622827656855913
3,1,0.0017984714797435975,0.005329156681721258
3,2,0.0017715266026719686,0.005095012082676397
3,3,0.0017332269964606298,0.004873036676812166
3,4,0.0016499883561183685,0.004791289971517976
3,5,0.001557564232241944,0.004561173144393191
3,6,0.022842438431258195,0.08857671850088787
3,7,0.5511195691824431,1.0865523070000074
3,8,1.0481817225620988,1.8206909005625618
3,9,1.607728922368327,2.7063554162034626
3,10,1.8777087845061553,3.1272118314621076
3,11,2.106528952234326,3.732816850618179
3,12,2.216344410225125,3.927613188046492
3,13,2.54316274916641,4.585145742008071
3,14,2.7130742009537268,4.894854552218768
3,15,2.6113313659455035,4.893943744987508
3,16,2.24670833310826,4.363120097293296
3,17,1.7650762993616094,3.428253731443549
3,18,1.3395775663163285,2.720241899225196
3,19,0.8103791529935219,1.5474080379531818
3,20,0.10054190665372585,0.30788135684474316
3,21,0.0063975272976196556,0.01354125819679088
3,22,0.006056578017986862,0.012003815434320655
3,23,0.005935017735649555,0.011931162620034708
4,0,0.003771350766097996,0.009715426283292751
4,1,0.0034439912865543926,0.009466152744853242
4,2,0.0032481520937972744,0.009023268133709668
4,3,0.003148307574187965,0.008569958704995322
4,4,0.0031855207074790223,0.008843206487878888
4,5,0.0032062758672958195,0.008663165671130721
4,6,0.012497424066249745,0.03140373532174287
4,7,0.30421613446649093,0.4187308385725747
4,8,0.7664388853447183,1.1643891864948117
4,9,2.2111930438581413,2.802521860375423
4,10,3.3345227388875442,4.038216114766529
4,11,4.1407734466985655,4.887786522753539
4,12,4.766923467460352,5.448726131850542
4,13,4.896682236008922,5.652673531317896
4,14,4.520499398329485,5.209092700171629
4,15,3.9307357395541853,4.459923588186427
4,16,3.3864113048120017,3.8507873056486397
4,17,2.5464283851931757,3.0090461065036846
4,18,1.9874184515088398,2.3763465914176667
4,19,0.8003063326949621,1.1299365583430527
4,20,0.11822497330267331,0.2796099558102275
4,21,0.00943619719000674,0.016860691594864252
4,22,0.010116426641301204,0.017667886168757026
4,23,0.009523770656646302,0.017603888493136974
5,0,0.0003720735441931627,0.0017204140618095908
5,1,0.00018579769182521262,0.0010843814842340298
5,2,0.00018629015577167866,0.001077122954012655
5,3,0.0001535670449475759,0.0008951738390825685
5,4,0.0001288047329889688,0.0008071797710156604
5,5,6.731513877420949e-05,0.000562329996826299
5,6,0.0013020394313186174,0.010050366114365685
5,7,0.19962735378211918,0.22807199728019578
5,8,0.21689223599679336,0.2854306043458178
5,9,0.3359655377784019,0.42551083343687846
5,10,0.3386759620078769,0.45849409511977235
5,11,0.3400350609836237,0.4931640055560438
5,12,0.3837892235709004,0.5769986389842131
5,13,0.4826376111767392,0.7166386653389808
5,14,0.5630314572130186,0.8140960136970087
5,15,0.5156698293814045,0.7543308640285454
5,16,0.5634316512408726,0.7940204812452741
5,17,0.5660272138615798,0.7642652595039454
5,18,0.4447680327119337,0.5690735505370705
5,19,0.24948220080409766,0.28753057165978757
5,20,0.02841599241711058,0.07028051481688621
5,21,0.0012910989262817018,0.004314732137128593
5,22,0.0013735075041270749,0.004568722541187044
5,23,0.0009925201814892947,0.0037750359444396068
